current_state,year,population,from,number_of_people,from_different_state_Total
Alabama,2010,4729509,Alabama,0,108723
Alabama,2010,4729509,Alaska,3013,108723
Alabama,2010,4729509,Arizona,676,108723
Alabama,2010,4729509,Arkansas,1481,108723
Alabama,2010,4729509,California,3827,108723
Alabama,2010,4729509,Colorado,1278,108723
Alabama,2010,4729509,Connecticut,454,108723
Alabama,2010,4729509,Delaware,811,108723
Alabama,2010,4729509,District of Columbia ,211,108723
Alabama,2010,4729509,Florida,15062,108723
Alabama,2010,4729509,Georgia,21644,108723
Alabama,2010,4729509,Hawaii,267,108723
Alabama,2010,4729509,Idaho,304,108723
Alabama,2010,4729509,Illinois,2503,108723
Alabama,2010,4729509,Indiana,3945,108723
Alabama,2010,4729509,Iowa,669,108723
Alabama,2010,4729509,Kansas,649,108723
Alabama,2010,4729509,Kentucky,1967,108723
Alabama,2010,4729509,Louisiana,1901,108723
Alabama,2010,4729509,Maine,97,108723
Alabama,2010,4729509,Maryland,716,108723
Alabama,2010,4729509,Massachusetts,435,108723
Alabama,2010,4729509,Michigan,2334,108723
Alabama,2010,4729509,Minnesota,386,108723
Alabama,2010,4729509,Mississippi,7233,108723
Alabama,2010,4729509,Missouri,1373,108723
Alabama,2010,4729509,Montana,229,108723
Alabama,2010,4729509,Nebraska,169,108723
Alabama,2010,4729509,Nevada,265,108723
Alabama,2010,4729509,New Hampshire,0,108723
Alabama,2010,4729509,New Jersey,356,108723
Alabama,2010,4729509,New Mexico,650,108723
Alabama,2010,4729509,New York,3686,108723
Alabama,2010,4729509,North Carolina,2371,108723
Alabama,2010,4729509,North Dakota,169,108723
Alabama,2010,4729509,Ohio,2222,108723
Alabama,2010,4729509,Oklahoma,880,108723
Alabama,2010,4729509,Oregon,485,108723
Alabama,2010,4729509,Pennsylvania,1477,108723
Alabama,2010,4729509,Rhode Island,0,108723
Alabama,2010,4729509,South Carolina,2368,108723
Alabama,2010,4729509,South Dakota,31,108723
Alabama,2010,4729509,Tennessee,7409,108723
