period_begin,period_end,state,property_type,median_sale_price,homes_sold
2020-11-01,2020-11-30,Illinois,All Residential,240700,13675
2019-07-01,2019-07-31,Connecticut,Single Family Residential,310900,3920
2016-11-01,2016-11-30,Illinois,Condo/Co-op,196800,1970
2013-02-01,2013-02-28,Kansas,Single Family Residential,147600,1150
2020-02-01,2020-02-29,Virginia,Multi-Family (2-4 Unit),217900,67
2014-09-01,2014-09-30,Maine,Single Family Residential,144600,486
2014-01-01,2014-01-31,Nebraska,Townhouse,150700,73
2017-05-01,2017-05-31,Connecticut,Multi-Family (2-4 Unit),170600,267
2019-04-01,2019-04-30,Colorado,Multi-Family (2-4 Unit),645400,59
2016-11-01,2016-11-30,Virginia,All Residential,298100,8206
2012-04-01,2012-04-30,Indiana,Townhouse,141300,48
2018-08-01,2018-08-31,Wisconsin,Multi-Family (2-4 Unit),136400,381
2015-07-01,2015-07-31,Arizona,Single Family Residential,224100,8468
2021-09-01,2021-09-30,Virginia,Condo/Co-op,284000,1372
2014-08-01,2014-08-31,Ohio,All Residential,133900,11740
2012-05-01,2012-05-31,Louisiana,All Residential,170000,1991
2021-06-01,2021-06-30,Maine,Condo/Co-op,335600,246
2014-02-01,2014-02-28,Texas,Condo/Co-op,143400,712
2020-07-01,2020-07-31,Minnesota,Townhouse,234000,1309
2012-03-01,2012-03-31,Maryland,Single Family Residential,281400,2674
2021-03-01,2021-03-31,California,Condo/Co-op,555500,6171
2021-05-01,2021-05-31,Arkansas,Single Family Residential,217100,2993
2018-07-01,2018-07-31,Arizona,Single Family Residential,276600,8934
2015-12-01,2015-12-31,South Carolina,Townhouse,156800,232
2016-09-01,2016-09-30,New Jersey,All Residential,295400,10226
2018-12-01,2018-12-31,South Carolina,Townhouse,181600,178
2016-11-01,2016-11-30,Mississippi,All Residential,152500,1015
2022-05-01,2022-05-31,Florida,All Residential,411200,41765
2012-09-01,2012-09-30,Washington,Townhouse,267100,253
2015-08-01,2015-08-31,South Dakota,Condo/Co-op,133900,12
