current_state,year,population,from,from_different_state_Total
Alabama,2010,4729509,Alabama,108723
Alaska,2010,702974,Alabama,36326
Arizona,2010,6332786,Alabama,222725
Arkansas,2010,2888304,Alabama,79127
California,2010,36907897,Alabama,444749
Colorado,2010,4988190,Alabama,186366
Connecticut,2010,3541146,Alabama,77333
Delaware,2010,889812,Alabama,30759
District of Columbia ,2010,596747,Alabama,51244
Florida,2010,18647600,Alabama,482889
Georgia,2010,9587237,Alabama,249459
Hawaii,2010,1346274,Alabama,53581
Idaho,2010,1550967,Alabama,55638
Illinois,2010,12680126,Alabama,203959
Indiana,2010,6414862,Alabama,127353
Iowa,2010,3013053,Alabama,72557
Kansas,2010,2820894,Alabama,95059
Kentucky,2010,4296639,Alabama,118443
Louisiana,2010,4483529,Alabama,97889
Maine,2010,1313902,Alabama,27758
Maryland,2010,5716785,Alabama,164484
Massachusetts,2010,6489250,Alabama,140162
Michigan,2010,9762127,Alabama,116149
Minnesota,2010,5244256,Alabama,89872
Mississippi,2010,2931228,Alabama,72321
Missouri,2010,5920858,Alabama,145226
Montana,2010,978507,Alabama,35630
Nebraska,2010,1802697,Alabama,51290
Nevada,2010,2667364,Alabama,102677
New Hampshire,2010,1303865,Alabama,39367
New Jersey,2010,8709933,Alabama,127369
New Mexico,2010,2039549,Alabama,73605
New York,2010,19171916,Alabama,269427
North Carolina,2010,9443000,Alabama,263256
North Dakota,2010,665654,Alabama,30100
Ohio,2010,11405101,Alabama,172633
Oklahoma,2010,3716264,Alabama,106511
Oregon,2010,3794008,Alabama,116700
Pennsylvania,2010,12577555,Alabama,235580
Rhode Island,2010,1042240,Alabama,32059
South Carolina,2010,4577399,Alabama,152441
South Dakota,2010,805616,Alabama,25777
Tennessee,2010,6282706,Alabama,159778
Texas,2010,24899075,Alabama,486558
Utah,2010,2724064,Alabama,77780
Vermont,2010,619363,Alabama,22529
Virginia,2010,7930773,Alabama,259507
Washington,2010,6661321,Alabama,191784
West Virginia,2010,1833535,Alabama,39609
Wisconsin,2010,5623196,Alabama,93065
Wyoming,2010,556954,Alabama,28046
Puerto Rico,2010,3676493,Alabama,31732
Alabama,2011,4745278,Alabama,117726
Alaska,2011,711962,Alabama,35084
Arizona,2011,6402301,Alabama,222877
Arkansas,2011,2906632,Alabama,69845
California,2011,37222678,Alabama,468428
Colorado,2011,5048443,Alabama,202124
Connecticut,2011,3548667,Alabama,71502
Delaware,2011,897187,Alabama,33912
District of Columbia ,2011,611608,Alabama,48066
Florida,2011,18863948,Alabama,498597
Georgia,2011,9699859,Alabama,271077
Hawaii,2011,1357806,Alabama,57542
Idaho,2011,1559637,Alabama,60336
Illinois,2011,12718402,Alabama,216204
Indiana,2011,6437155,Alabama,127874
Iowa,2011,3027718,Alabama,70405
Kansas,2011,2833584,Alabama,83640
Kentucky,2011,4316297,Alabama,110031
Louisiana,2011,4518629,Alabama,99138
Maine,2011,1315833,Alabama,33818
Maryland,2011,5759087,Alabama,153979
Massachusetts,2011,6515057,Alabama,139830
Michigan,2011,9766574,Alabama,139158
Minnesota,2011,5277329,Alabama,101029
Mississippi,2011,2943021,Alabama,68511
Missouri,2011,5937896,Alabama,149439
Montana,2011,987076,Alabama,33553
Nebraska,2011,1817126,Alabama,52070
Nevada,2011,2688336,Alabama,110345
New Hampshire,2011,1305678,Alabama,37000
New Jersey,2011,8719952,Alabama,140194
New Mexico,2011,2055293,Alabama,62130
New York,2011,19248685,Alabama,282209
North Carolina,2011,9539412,Alabama,265291
North Dakota,2011,675161,Alabama,32510
Ohio,2011,11418944,Alabama,191778
Oklahoma,2011,3742698,Alabama,108878
Oregon,2011,3828714,Alabama,127906
Pennsylvania,2011,12610486,Alabama,234291
Rhode Island,2011,1040022,Alabama,26769
South Carolina,2011,4624180,Alabama,157644
South Dakota,2011,814175,Alabama,27506
Tennessee,2011,6333466,Alabama,170969
Texas,2011,25327104,Alabama,514726
Utah,2011,2769627,Alabama,85217
Vermont,2011,621354,Alabama,20463
Virginia,2011,7996552,Alabama,257130
Washington,2011,6748474,Alabama,208507
West Virginia,2011,1836614,Alabama,50068
Wisconsin,2011,5647213,Alabama,109439
Wyoming,2011,561389,Alabama,30651
Puerto Rico,2011,3669195,Alabama,22649
Alabama,2012,4764428,Alabama,104600
Alaska,2012,721186,Alabama,33415
Arizona,2012,6468907,Alabama,232457
Arkansas,2012,2912680,Alabama,76948
California,2012,37572738,Alabama,493641
Colorado,2012,5123944,Alabama,205060
Connecticut,2012,3555319,Alabama,80311
Delaware,2012,906576,Alabama,34757
District of Columbia ,2012,624847,Alabama,53830
Florida,2012,19114620,Alabama,537148
Georgia,2012,9796547,Alabama,277466
Hawaii,2012,1374852,Alabama,55145
Idaho,2012,1573036,Alabama,59283
Illinois,2012,12725119,Alabama,208755
Indiana,2012,6457067,Alabama,134137
Iowa,2012,3035469,Alabama,75760
Kansas,2012,2848708,Alabama,88284
Kentucky,2012,4328626,Alabama,112787
Louisiana,2012,4545914,Alabama,91215
Maine,2012,1315586,Alabama,27523
Maryland,2012,5816472,Alabama,154983
Massachusetts,2012,6580641,Alabama,142577
Michigan,2012,9778980,Alabama,133981
Minnesota,2012,5315228,Alabama,101042
Mississippi,2012,2947696,Alabama,73500
Missouri,2012,5951913,Alabama,162930
Montana,2012,995544,Alabama,37690
Nebraska,2012,1829420,Alabama,43266
Nevada,2012,2725280,Alabama,124285
New Hampshire,2012,1309203,Alabama,50484
New Jersey,2012,8772744,Alabama,130223
New Mexico,2012,2060595,Alabama,54693
New York,2012,19352153,Alabama,270053
North Carolina,2012,9640490,Alabama,273149
North Dakota,2012,689838,Alabama,38213
Ohio,2012,11414635,Alabama,196391
Oklahoma,2012,3762311,Alabama,108972
Oregon,2012,3857465,Alabama,118925
Pennsylvania,2012,12630082,Alabama,215500
Rhode Island,2012,1040527,Alabama,33446
South Carolina,2012,4668886,Alabama,156705
South Dakota,2012,821669,Alabama,26051
Tennessee,2012,6378278,Alabama,177098
Texas,2012,25711791,Alabama,507752
Utah,2012,2805440,Alabama,87870
Vermont,2012,620224,Alabama,24431
Virginia,2012,8085389,Alabama,250653
Washington,2012,6815763,Alabama,215494
West Virginia,2012,1837518,Alabama,47125
Wisconsin,2012,5660677,Alabama,99192
Wyoming,2012,569734,Alabama,31149
Puerto Rico,2012,3628402,Alabama,20044
Alabama,2013,4781296,Alabama,104102
Alaska,2013,725193,Alabama,34360
Arizona,2013,6543362,Alabama,236146
Arkansas,2013,2923642,Alabama,70621
California,2013,37873189,Alabama,485477
Colorado,2013,5206012,Alabama,206543
Connecticut,2013,3562959,Alabama,88351
Delaware,2013,914025,Alabama,36790
District of Columbia ,2013,636535,Alabama,46571
Florida,2013,19345059,Alabama,529406
Georgia,2013,9870319,Alabama,278972
Hawaii,2013,1387361,Alabama,58083
Idaho,2013,1592596,Alabama,61592
Illinois,2013,12740816,Alabama,223605
Indiana,2013,6492306,Alabama,133508
Iowa,2013,3053635,Alabama,75650
Kansas,2013,2854869,Alabama,89735
Kentucky,2013,4345186,Alabama,103207
Louisiana,2013,4568320,Alabama,91889
Maine,2013,1315753,Alabama,36780
Maryland,2013,5857213,Alabama,161525
Massachusetts,2013,6619999,Alabama,135150
Michigan,2013,9784094,Alabama,144091
Minnesota,2013,5353441,Alabama,104825
Mississippi,2013,2957797,Alabama,68588
Missouri,2013,5973448,Alabama,159936
Montana,2013,1003013,Alabama,40035
Nebraska,2013,1842900,Alabama,45854
Nevada,2013,2757365,Alabama,126583
New Hampshire,2013,1310978,Alabama,44867
New Jersey,2013,8803679,Alabama,136907
