state,year,median_sale_price,homes_sold
Illinois,2020-11-01,240700,13675
Connecticut,2019-07-01,310900,3920
Illinois,2016-11-01,196800,1970
Kansas,2013-02-01,147600,1150
Virginia,2020-02-01,217900,67
Maine,2014-09-01,144600,486
Nebraska,2014-01-01,150700,73
Connecticut,2017-05-01,170600,267
Colorado,2019-04-01,645400,59
Virginia,2016-11-01,298100,8206
Indiana,2012-04-01,141300,48
Wisconsin,2018-08-01,136400,381
Arizona,2015-07-01,224100,8468
Virginia,2021-09-01,284000,1372
Ohio,2014-08-01,133900,11740
Louisiana,2012-05-01,170000,1991
Maine,2021-06-01,335600,246
Texas,2014-02-01,143400,712
Minnesota,2020-07-01,234000,1309
Maryland,2012-03-01,281400,2674
California,2021-03-01,555500,6171
Arkansas,2021-05-01,217100,2993
Arizona,2018-07-01,276600,8934
South Carolina,2015-12-01,156800,232
New Jersey,2016-09-01,295400,10226
South Carolina,2018-12-01,181600,178
Mississippi,2016-11-01,152500,1015
Florida,2022-05-01,411200,41765
Washington,2012-09-01,267100,253
South Dakota,2015-08-01,133900,12
Minnesota,2017-03-01,214100,96
Oklahoma,2014-05-01,101800,26
Arkansas,2013-07-01,123300,15
Mississippi,2020-10-01,159700,36
New Hampshire,2012-07-01,201500,1555
Indiana,2013-12-01,116800,202
Idaho,2016-02-01,194400,1368
Louisiana,2012-12-01,154000,28
Nebraska,2017-06-01,168100,48
Idaho,2022-05-01,521000,2200
New Mexico,2017-03-01,134000,3
Florida,2014-01-01,179400,12778
Columbia,2017-05-01,700000,406
Minnesota,2016-03-01,183600,104
Kentucky,2016-11-01,123200,40
Arkansas,2019-06-01,181300,2596
Oklahoma,2014-11-01,66200,47
Alabama,2013-07-01,169600,2799
West Virginia,2012-01-01,107000,14
Oregon,2021-01-01,289300,283
South Dakota,2014-07-01,158100,409
Oregon,2018-10-01,376600,103
Utah,2015-03-01,213400,346
New York,2017-10-01,300800,9277
Iowa,2014-03-01,122500,6
Pennsylvania,2022-01-01,279100,5000
Massachusetts,2012-08-01,312100,7670
Alabama,2014-01-01,147500,1604
Kansas,2021-10-01,210800,74
Washington,2020-02-01,454200,5408
Oregon,2014-03-01,252800,3110
Missouri,2020-10-01,158100,128
Iowa,2021-02-01,193700,146
Maryland,2022-04-01,314500,2738
Illinois,2021-05-01,257600,3677
North Carolina,2019-08-01,219500,43
Maine,2020-11-01,275500,2168
Vermont,2014-07-01,218900,733
New Jersey,2015-12-01,203700,336
Georgia,2017-12-01,228100,9558
California,2019-01-01,535300,15294
Illinois,2016-04-01,205900,13697
Louisiana,2013-08-01,172300,2768
Mississippi,2014-04-01,133600,9
South Dakota,2020-07-01,205000,76
Arkansas,2021-12-01,242500,46
Mississippi,2015-09-01,152200,1065
Kentucky,2021-05-01,228900,3625
Ohio,2017-02-01,119000,787
Columbia,2020-03-01,610000,834
New York,2014-05-01,152500,156
Kansas,2015-01-01,166000,1073
Mississippi,2019-01-01,173900,740
Connecticut,2021-11-01,222000,937
New York,2014-05-01,200200,5721
Utah,2017-04-01,226000,457
Michigan,2018-05-01,21000,3
Florida,2018-07-01,245300,35350
Vermont,2017-05-01,205100,54
Tennessee,2015-09-01,174800,81
Colorado,2016-08-01,239400,1137
California,2013-04-01,321300,4954
Tennessee,2013-12-01,130500,2376
Washington,2018-05-01,521800,634
South Dakota,2017-06-01,202800,544
Idaho,2016-09-01,189400,63
West Virginia,2014-11-01,151500,236
Wisconsin,2021-07-01,194400,577
California,2017-04-01,571900,1284
Tennessee,2018-12-01,233800,235
California,2021-12-01,742500,34265
South Dakota,2013-02-01,115000,5
Florida,2012-03-01,145900,15106
Connecticut,2017-10-01,269400,2957
Wisconsin,2020-08-01,235100,8839
Idaho,2021-03-01,414700,2391
Pennsylvania,2015-07-01,198900,12170
Utah,2012-04-01,152200,212
Washington,2015-07-01,332600,10731
Arkansas,2018-01-01,124100,50
New Jersey,2013-01-01,223800,134
Nebraska,2016-05-01,158200,52
Delaware,2016-10-01,164300,154
Massachusetts,2021-10-01,453500,750
Nevada,2015-09-01,186600,36
Colorado,2020-05-01,463200,3678
Colorado,2022-01-01,465200,613
Kansas,2016-07-01,140700,27
North Carolina,2013-02-01,150900,246
California,2019-09-01,574500,24223
