year,state,median_sale_price,homes_sold,population,migration_total,pop_change
2012,Alabama,183719,23764,4764428,104600,19150
2012,Alaska,254725,23660,721186,33415,9224
2012,Arizona,120760,432938,6468907,232457,66606
2012,Arkansas,115643,13690,2912680,76948,6048
2012,California,335525,1305324,37572738,493641,350060
2012,Colorado,248153,255628,5123944,205060,75501
2012,Connecticut,166773,68824,3555319,80311,6652
2012,Delaware,141640,27848,906576,34757,9389
2012,Florida,122712,1077616,19114620,537148,250672
2012,Georgia,100428,385274,9796547,277466,96688
2012,Hawaii,414945,44658,1374852,55145,17046
2012,Idaho,145143,67316,1573036,59283,13399
2012,Illinois,138502,457266,12725119,208755,6717
2012,Indiana,107398,149150,6457067,134137,19912
2012,Iowa,139231,40878,3035469,75760,7751
2012,Kansas,123670,77284,2848708,88284,15124
2012,Kentucky,123723,104868,4328626,112787,12329
2012,Louisiana,151442,81046,4545914,91215,27285
2012,Maine,128960,1658,1315586,27523,-247
2012,Maryland,194943,226696,5816472,154983,57385
2012,Massachusetts,289673,272596,6580641,142577,65584
2012,Michigan,89521,348834,9778980,133981,12406
2012,Minnesota,140167,265656,5315228,101042,37899
2012,Mississippi,96798,39798,2947696,73500,4675
2012,Missouri,108588,68656,5951913,162930,14017
2012,Nebraska,129682,59966,1829420,43266,12294
2012,Nevada,102523,222600,2725280,124285,36944
2012,New Hampshire,169148,64480,1309203,50484,3525
2012,New Jersey,253863,138866,8772744,130223,52792
2012,New Mexico,282196,7662,2060595,54693,5302
2012,New York,181363,259058,19352153,270053,103468
2012,North Carolina,158690,129106,9640490,273149,101078
2012,Ohio,97913,418894,11414635,196391,-4309
2012,Oklahoma,113525,129118,3762311,108972,19613
2012,Oregon,197790,174324,3857465,118925,28751
2012,Pennsylvania,154160,355834,12630082,215500,19596
2012,Rhode Island,169935,42388,1040527,33446,505
2012,South Carolina,145965,119762,4668886,156705,44706
2012,South Dakota,138789,13836,821669,26051,7494
2012,Tennessee,116842,92444,6378278,177098,44812
2012,Texas,156685,819258,25711791,507752,384687
2012,Utah,183602,128826,2805440,87870,35813
2012,Vermont,214122,21466,620224,24431,-1130
2012,Virginia,260323,271800,8085389,250653,88837
2012,Washington,239963,284424,6815763,215494,67289
2012,West Virginia,126344,12336,1837518,47125,904
2012,Wisconsin,105022,79728,5660677,99192,13464
2013,Alabama,152804,113066,4781296,104102,16868
2013,Alaska,262504,27570,725193,34360,4007
2013,Arizona,149547,417072,6543362,236146,74455
2013,Arkansas,119755,48902,2923642,70621,10962
2013,California,401428,1460604,37873189,485477,300451
2013,Colorado,262612,302128,5206012,206543,82068
2013,Connecticut,168488,76842,3562959,88351,7640
2013,Delaware,149693,29256,914025,36790,7449
2013,Florida,145320,1189318,19345059,529406,230439
2013,Georgia,136940,404518,9870319,278972,73772
2013,Hawaii,503370,50766,1387361,58083,12509
2013,Idaho,165623,75658,1592596,61592,19560
2013,Illinois,155008,552986,12740816,223605,15697
2013,Indiana,114702,186602,6492306,133508,35239
2013,Iowa,141744,48128,3053635,75650,18166
2013,Kansas,129682,86336,2854869,89735,6161
2013,Kentucky,129427,122178,4345186,103207,16560
2013,Louisiana,157522,106766,4568320,91889,22406
2013,Maine,127873,17034,1315753,36780,167
2013,Maryland,205893,254110,5857213,161525,40741
2013,Massachusetts,312937,295390,6619999,135150,39358
2013,Michigan,107831,382766,9784094,144091,5114
2013,Minnesota,162782,287584,5353441,104825,38213
2013,Mississippi,105495,45678,2957797,68588,10101
2013,Missouri,113257,93480,5973448,159936,21535
2013,Nebraska,139827,66612,1842900,45854,13480
2013,Nevada,135813,203664,2757365,126583,32085
2013,New Hampshire,183237,71844,1310978,44867,1775
2013,New Jersey,229942,205650,8803679,136907,30935
2013,New Mexico,277762,8370,2059689,56808,-906
2013,New York,187742,293182,19431954,272066,79801
2013,North Carolina,158708,200194,9737365,275922,96875
2013,Ohio,104757,484380,11439593,185749,24958
2013,Oklahoma,122875,142102,3801521,109255,39210
2013,Oregon,226033,196630,3888216,143841,30751
2013,Pennsylvania,159600,400958,12639493,224280,9411
2013,Rhode Island,187552,47392,1040986,34108,459
2013,South Carolina,157777,141870,4720602,166047,51716
2013,South Dakota,141023,15884,832703,30042,11034
2013,Tennessee,114823,124314,6419226,186525,40948
2013,Texas,172558,962960,26087349,548034,375558
2013,Utah,207997,144480,2854667,97869,49227
2013,Vermont,211600,24864,621256,23180,1032
2013,Virginia,272828,304242,8163664,266348,78275
2013,Washington,269990,335022,6888552,208215,72789
