current_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people,population_change
Alabama,2010,4729509,3987155,620465,108723,13166,Alabama,0,0
Alabama,2010,4729509,3987155,620465,108723,13166,Alaska,3013,0
Alabama,2010,4729509,3987155,620465,108723,13166,Arizona,676,0
Alabama,2010,4729509,3987155,620465,108723,13166,Arkansas,1481,0
Alabama,2010,4729509,3987155,620465,108723,13166,California,3827,0
Alabama,2010,4729509,3987155,620465,108723,13166,Colorado,1278,0
Alabama,2010,4729509,3987155,620465,108723,13166,Connecticut,454,0
Alabama,2010,4729509,3987155,620465,108723,13166,Delaware,811,0
Alabama,2010,4729509,3987155,620465,108723,13166,District of Columbia ,211,0
Alabama,2010,4729509,3987155,620465,108723,13166,Florida,15062,0
Alabama,2010,4729509,3987155,620465,108723,13166,Georgia,21644,0
Alabama,2010,4729509,3987155,620465,108723,13166,Hawaii,267,0
Alabama,2010,4729509,3987155,620465,108723,13166,Idaho,304,0
Alabama,2010,4729509,3987155,620465,108723,13166,Illinois,2503,0
Alabama,2010,4729509,3987155,620465,108723,13166,Indiana,3945,0
Alabama,2010,4729509,3987155,620465,108723,13166,Iowa,669,0
Alabama,2010,4729509,3987155,620465,108723,13166,Kansas,649,0
Alabama,2010,4729509,3987155,620465,108723,13166,Kentucky,1967,0
Alabama,2010,4729509,3987155,620465,108723,13166,Louisiana,1901,0
Alabama,2010,4729509,3987155,620465,108723,13166,Maine,97,0
Alabama,2010,4729509,3987155,620465,108723,13166,Maryland,716,0
Alabama,2010,4729509,3987155,620465,108723,13166,Massachusetts,435,0
Alabama,2010,4729509,3987155,620465,108723,13166,Michigan,2334,0
Alabama,2010,4729509,3987155,620465,108723,13166,Minnesota,386,0
Alabama,2010,4729509,3987155,620465,108723,13166,Mississippi,7233,0
Alabama,2010,4729509,3987155,620465,108723,13166,Missouri,1373,0
Alabama,2010,4729509,3987155,620465,108723,13166,Montana,229,0
Alabama,2010,4729509,3987155,620465,108723,13166,Nebraska,169,0
Alabama,2010,4729509,3987155,620465,108723,13166,Nevada,265,0
Alabama,2010,4729509,3987155,620465,108723,13166,New Hampshire,0,0
Alabama,2010,4729509,3987155,620465,108723,13166,New Jersey,356,0
Alabama,2010,4729509,3987155,620465,108723,13166,New Mexico,650,0
Alabama,2010,4729509,3987155,620465,108723,13166,New York,3686,0
Alabama,2010,4729509,3987155,620465,108723,13166,North Carolina,2371,0
Alabama,2010,4729509,3987155,620465,108723,13166,North Dakota,169,0
Alabama,2010,4729509,3987155,620465,108723,13166,Ohio,2222,0
Alabama,2010,4729509,3987155,620465,108723,13166,Oklahoma,880,0
Alabama,2010,4729509,3987155,620465,108723,13166,Oregon,485,0
Alabama,2010,4729509,3987155,620465,108723,13166,Pennsylvania,1477,0
Alabama,2010,4729509,3987155,620465,108723,13166,Rhode Island,0,0
Alabama,2010,4729509,3987155,620465,108723,13166,South Carolina,2368,0
Alabama,2010,4729509,3987155,620465,108723,13166,South Dakota,31,0
Alabama,2010,4729509,3987155,620465,108723,13166,Tennessee,7409,0
Alabama,2010,4729509,3987155,620465,108723,13166,Texas,6500,0
Alabama,2010,4729509,3987155,620465,108723,13166,Utah,1336,0
Alabama,2010,4729509,3987155,620465,108723,13166,Vermont,0,0
Alabama,2010,4729509,3987155,620465,108723,13166,Virginia,2490,0
Alabama,2010,4729509,3987155,620465,108723,13166,Washington,1171,0
Alabama,2010,4729509,3987155,620465,108723,13166,West Virginia,41,0
Alabama,2010,4729509,3987155,620465,108723,13166,Wisconsin,1155,0
Alabama,2010,4729509,3987155,620465,108723,13166,Wyoming,27,0
Alabama,2010,4729509,3987155,620465,108723,13166,abroad_PuertoRico,228,0
Alabama,2010,4729509,3987155,620465,108723,13166,abroad_USIslandArea,181,0
Alabama,2010,4729509,3987155,620465,108723,13166,abroad_ForeignCountry,12757,0
Alabama,2011,4745278,4024442,588293,117726,14817,Alabama,0,15769.0
Alabama,2011,4745278,4024442,588293,117726,14817,Alaska,1771,15769.0
Alabama,2011,4745278,4024442,588293,117726,14817,Arizona,1677,15769.0
Alabama,2011,4745278,4024442,588293,117726,14817,Arkansas,1642,15769.0
Alabama,2011,4745278,4024442,588293,117726,14817,California,3389,15769.0
Alabama,2011,4745278,4024442,588293,117726,14817,Colorado,348,15769.0
Alabama,2011,4745278,4024442,588293,117726,14817,Connecticut,2921,15769.0
Alabama,2011,4745278,4024442,588293,117726,14817,Delaware,232,15769.0
Alabama,2011,4745278,4024442,588293,117726,14817,District of Columbia ,399,15769.0
Alabama,2011,4745278,4024442,588293,117726,14817,Florida,20063,15769.0
Alabama,2011,4745278,4024442,588293,117726,14817,Georgia,19346,15769.0
