year,state,median_sale_price,homes_sold
2020-11-01,Illinois,240700,13675
2019-07-01,Connecticut,310900,3920
2016-11-01,Illinois,196800,1970
2013-02-01,Kansas,147600,1150
2020-02-01,Virginia,217900,67
2014-09-01,Maine,144600,486
2014-01-01,Nebraska,150700,73
2017-05-01,Connecticut,170600,267
2019-04-01,Colorado,645400,59
2016-11-01,Virginia,298100,8206
2012-04-01,Indiana,141300,48
2018-08-01,Wisconsin,136400,381
2015-07-01,Arizona,224100,8468
2021-09-01,Virginia,284000,1372
2014-08-01,Ohio,133900,11740
2012-05-01,Louisiana,170000,1991
2021-06-01,Maine,335600,246
2014-02-01,Texas,143400,712
2020-07-01,Minnesota,234000,1309
2012-03-01,Maryland,281400,2674
2021-03-01,California,555500,6171
2021-05-01,Arkansas,217100,2993
2018-07-01,Arizona,276600,8934
2015-12-01,South Carolina,156800,232
2016-09-01,New Jersey,295400,10226
2018-12-01,South Carolina,181600,178
2016-11-01,Mississippi,152500,1015
2022-05-01,Florida,411200,41765
2012-09-01,Washington,267100,253
2015-08-01,South Dakota,133900,12
2017-03-01,Minnesota,214100,96
2014-05-01,Oklahoma,101800,26
2013-07-01,Arkansas,123300,15
2020-10-01,Mississippi,159700,36
2012-07-01,New Hampshire,201500,1555
2013-12-01,Indiana,116800,202
2016-02-01,Idaho,194400,1368
2012-12-01,Louisiana,154000,28
2017-06-01,Nebraska,168100,48
2022-05-01,Idaho,521000,2200
2017-03-01,New Mexico,134000,3
2014-01-01,Florida,179400,12778
2017-05-01,Columbia,700000,406
2016-03-01,Minnesota,183600,104
2016-11-01,Kentucky,123200,40
2019-06-01,Arkansas,181300,2596
2014-11-01,Oklahoma,66200,47
2013-07-01,Alabama,169600,2799
2012-01-01,West Virginia,107000,14
2021-01-01,Oregon,289300,283
2014-07-01,South Dakota,158100,409
2018-10-01,Oregon,376600,103
2015-03-01,Utah,213400,346
2017-10-01,New York,300800,9277
2014-03-01,Iowa,122500,6
2022-01-01,Pennsylvania,279100,5000
2012-08-01,Massachusetts,312100,7670
2014-01-01,Alabama,147500,1604
2021-10-01,Kansas,210800,74
2020-02-01,Washington,454200,5408
2014-03-01,Oregon,252800,3110
2020-10-01,Missouri,158100,128
2021-02-01,Iowa,193700,146
2022-04-01,Maryland,314500,2738
2021-05-01,Illinois,257600,3677
